Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"R., Khurana; Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, M; Erö, J; ",Observation of a new boson at a mass of 125 GeV with the CMS experiment at the LHC,Physics Letters B,716,1,30-61,2012,North-Holland
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for resonances in the dilepton mass distribution in pp collisions at $\sqrt {s}= 7$ TeV,Journal of High Energy Physics,2011,5,1-35,2011,Springer-Verlag
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Observation of a new boson with mass near 125 GeV in pp collisions at $\sqrt {s}= 7$ and 8 TeV,Journal of High Energy Physics,2013,6,1-127,2013,Springer-Verlag
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for the standard model Higgs boson produced in association<? format?> with a W or a Z boson and decaying to bottom quarks,"Physical Review D—Particles, Fields, Gravitation, and Cosmology",89,1,012003,2014,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Measurement of the properties of a Higgs boson in the four-lepton final state,Physical Review D,89,9,092007,2014,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ","Observation of long-range, near-side angular correlations in pPb collisions at the LHC",Physics Letters B,718,3,795-814,2013,North-Holland
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Study of the mass and spin-parity of the Higgs boson candidate via its decays to Z boson pairs,Physical Review Letters,110,8,081803,2013,American Physical Society
"Collaborations, CMS; ",Combined Measurement of the Higgs Boson Mass in $ pp $ Collisions at $\sqrt {s}= 7$ and 8 TeV with the ATLAS and CMS Experiments,arXiv preprint arXiv:1503.07589,,,,2015,
"collaboration, CMS; ",Observation of the diphoton decay of the Higgs boson and measurement of its properties,The European Physical Journal C,,,,2014,
"ch, CMS Collaboration cms-publication-committee-chair@ cern.; Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Bergauer, T; Dragicevic, M; Erö, J; Fabjan, C; ",Search for top-squark pair production in the single-lepton final state in pp collisions at s=8\mathrmTeV,The European Physical Journal C,73,,1-46,2013,Springer Berlin Heidelberg
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; Fruehwirth, Rudolf; ",Search for physics beyond the standard model in dilepton mass spectra in proton-proton collisions at $$\sqrt {s}= 8$$ TeV,Journal of High Energy Physics,2015,4,1-49,2015,Springer Berlin Heidelberg
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for the Standard Model Higgs Boson Decaying into two Photons in pp Collisions at s= 7TeV,Physics Letters B,710,3,403-425,2012,North-Holland
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for Dark Matter and Large Extra Dimensions in pp Collisions<? format?> Yielding a Photon and Missing Transverse Energy,Physical review letters,108,26,261803,2012,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for neutral Higgs bosons decaying to tau pairs in pp collisions at s= 7TeV,Physics Letters B,713,2,68-90,2012,North-Holland
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for the standard model Higgs boson decaying to W+ W− in the fully leptonic final state in pp collisions at s= 7 TeV,Physics Letters B,710,1,91-113,2012,North-Holland
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Searches for long-lived charged particles in pp collisions at $\sqrt {s} $= 7 and 8 TeV,Journal of High Energy Physics,2013,7,1-48,2013,Springer Berlin Heidelberg
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Measurement of the elliptic anisotropy of charged particles produced in PbPb collisions at s NN= 2.76 TeV,Physical Review C—Nuclear Physics,87,1,014902,2013,American Physical Society
